Company Name,Ticker,Address,Full Time Employees,Market Capitalization (Market Cap),Enterprise Value (EV),Total Revenue,Gross Profits,Total Debt
Exxon Mobil Corporation,XOM,"5959 Las Colinas Boulevard, Irving, TX, 75039-2298, United States",62000.0,437288730624,460750585856,367977005056,133715000000,41495998464
Chevron Corporation,CVX,"6001 Bollinger Canyon Road, San Ramon, CA, 94583-2324, United States",43846.0,297691217920,313186058240,214671998976,98886000000,21514000384
Shell plc,SHEL,"Shell Centre, London, None, SE1 7NA, United Kingdom",91140.0,204385419264,246093201408,358589005824,97308000000,84366000128
TotalEnergies SE,TTE,"2, place Jean Millier, Courbevoie, None, 92078, France",101279.0,148195639296,180737343488,238681997312,92261000000,56412000256
ConocoPhillips,COP,"925 North Eldridge Parkway, Houston, TX, 77079-2703, United States",9700.0,139774033920,150561669120,68775002112,39598000000,16444000256
BP p.l.c.,BP,"1 St James's Square, London, None, SW1Y 4PD, United Kingdom",67600.0,104156094464,467766444032,227586998272,70171000000,60699000832
Equinor ASA,EQNR,"Forusbeen 50, Stavanger, None, 4035, Norway",21936.0,95017271296,181152153600,128649003008,85590000000,30595000320
Petróleo Brasileiro S.A. - Petrobras,PBR,"Avenida RepUblica do Chile, 65, Rio De Janeiro, RJ, 20031-912, Brazil",45149.0,87591804928,308884242432,581562990592,334100000000,279374987264
Petróleo Brasileiro S.A. - Petrobras,PBR-A,"Avenida RepUblica do Chile, 65, Rio De Janeiro, RJ, 20031-912, Brazil",45149.0,86175465472,301122945024,581562990592,334100000000,279374987264
Schlumberger Limited,SLB,"5599 San Felipe, Houston, TX, 77056, United States",99000.0,82898018304,94358282240,31190999040,5161000000,13489999872
"EOG Resources, Inc.",EOG,"1111 Bagby Street, Houston, TX, 77002, United States",2850.0,75528691712,74578173952,25225000960,20132000000,4148999936
Enbridge Inc.,ENB,"200, Fifth Avenue Place, Calgary, AB, T2P 3L8, Canada",11100.0,70296887296,158646779904,47503998976,20720000000,79474999296
Canadian Natural Resources Limited,CNQ,"2100, 855 - 2nd Street S.W., Calgary, AB, T2P 4J8, Canada",10035.0,65306836992,80387096576,36665999360,23613000000,13678999552
Marathon Petroleum Corporation,MPC,"539 South Main Street, Findlay, OH, 45840-3229, United States",17800.0,61326598144,80990756864,157515005952,26565000000,28565000192
Occidental Petroleum Corporation,OXY,"5 Greenway Plaza, Houston, TX, 77046-0521, United States",11973.0,56670396416,86727639040,31536001024,24571000000,20686999552
Pioneer Natural Resources Company,PXD,"777 Hidden Ridge, Irving, TX, 75038, United States",2076.0,54628777984,60735455232,20387000320,13262000000,5709000192
Phillips 66,PSX,"2331 CityWest Boulevard, Houston, TX, 77042, United States",13000.0,52048719872,69937381376,154719993856,20058000000,19865999360
Eni S.p.A.,E,"Piazzale Enrico Mattei 1, Rome, RM, 00144, Italy",32188.0,49769160704,65872928768,116525998080,31158000000,33462999040
Valero Energy Corporation,VLO,"One Valero Way, San Antonio, TX, 78249, United States",9716.0,47409336320,57497657344,151759994880,19224000000,11322999808
Hess Corporation,HES,"1185 Avenue of the Americas, New York, NY, 10036, United States",1623.0,47768080384,55881506816,10535000064,7741000000,9267000320
Woodside Energy Group Ltd,WDS,"Mia Yellagonga, Perth, WA, 6000, Australia",4427.0,46785196032,48039821312,16817000448,10277000000,6771999744
"The Williams Companies, Inc.",WMB,"One Williams Center, Tulsa, OK, 74172, United States",5043.0,42344280064,69459992576,10773999616,6078000000,24408999936
Suncor Energy Inc.,SU,"6th Avenue S.W, Calgary, AB, T2P 3E3, Canada",16558.0,40651538432,57256005632,56912998400,35890000000,16842000384
Energy Transfer LP,ET,"8111 Westchester Drive, Dallas, TX, 75225, United States",12565.0,39454101504,102685319168,80754999296,13418000000,48961998848
"Cheniere Energy, Inc.",LNG,"700 Milam Street, Houston, TX, 77002, United States",1551.0,39533686784,67407482880,29126000640,5977000000,28152000512
"Kinder Morgan, Inc.",KMI,"1001 Louisiana Street, Houston, TX, 77002, United States",10525.0,38681030656,72223776768,17144999936,7290000000,31778000896
Cenovus Energy Inc.,CVE,"4100, 225 – 6 Avenue SW, Calgary, AB, T2P 0M5, Canada",5998.0,36721782784,47034621952,56027000832,15997000000,11308000256
Halliburton Company,HAL,"3000 North Sam Houston Parkway East, Houston, TX, 77032, United States",47000.0,35627683840,42488594432,22414000128,3243000000,9075999744
TC Energy Corporation,TRP,"450 - 1 Street SW, Calgary, AB, T2P 5H1, Canada",7477.0,35787894784,99609001984,15598000128,9612000000,61780000768
